iter	Passed	Remaining
239	2481	7858
240	2491	7847
241	2502	7838
242	2512	7826
243	2522	7814
244	2532	7803
245	2541	7791
246	2552	7780
247	2562	7770
248	2572	7758
249	2582	7747
250	2592	7737
251	2602	7726
252	2613	7716
253	2623	7704
254	2633	7695
255	2644	7686
256	2654	7674
257	2664	7663
258	2674	7652
259	2685	7642
260	2695	7630
261	2705	7620
262	2715	7608
263	2725	7598
264	2736	7588
265	2746	7577
266	2756	7566
267	2767	7557
268	2777	7547
269	2787	7536
270	2797	7525
271	2807	7514
272	2818	7504
273	2828	7494
274	2838	7482
275	2848	7470
276	2858	7461
277	2869	7451
278	2878	7439
279	2889	7430
280	2899	7420
281	2910	7410
282	2920	7399
283	2930	7388
284	2940	7378
285	2951	7368
286	2961	7357
287	2972	7347
288	2982	7336
289	2992	7327
290	3003	7317
291	3013	7305
292	3023	7294
293	3033	7283
294	3042	7272
295	3052	7261
296	3062	7249
297	3073	7239
298	3083	7229
299	3093	7218
300	3103	7207
301	3113	7195
302	3123	7185
303	3133	7173
304	3143	7163
305	3153	7152
306	3163	7142
307	3174	7132
308	3184	7121
309	3195	7111
310	3206	7103
311	3216	7093
312	3227	7083
313	3237	7072
314	3247	7061
315	3258	7052
316	3268	7043
317	3279	7033
318	3289	7022
319	3299	7011
320	3310	7002
321	3320	6992
322	3330	6981
323	3340	6970
324	3350	6959
325	3360	6948
326	3370	6936
327	3380	6926
328	3391	6916
329	3402	6908
330	3412	6898
331	3422	6886
332	3433	6877
333	3443	6866
334	3453	6855
335	3464	6846
336	3476	6839
337	3486	6829
338	3496	6818
339	3507	6808
340	3518	6799
341	3528	6789
342	3538	6777
343	3548	6767
344	3558	6756
345	3569	6746
346	3579	6736
347	3590	6726
348	3599	6715
349	3610	6705
350	3620	6694
351	3630	6683
352	3640	6672
353	3651	6663
354	3661	6652
355	3671	6641
356	3681	6631
357	3691	6620
358	3702	6610
359	3712	6599
360	3723	6590
361	3733	6579
362	3743	6569
363	3753	6558
364	3763	6547
365	3773	6537
366	3784	6527
367	3794	6516
368	3804	6506
369	3814	6495
370	3824	6484
371	3834	6473
372	3845	6464
373	3857	6456
374	3867	6446
375	3879	6437
376	3890	6428
377	3901	6419
378	3912	6411
379	3924	6402
380	3934	6393
381	3946	6384
382	3956	6374
383	3966	6363
384	3977	6353
385	3987	6343
386	3997	6332
387	4008	6322
388	4018	6311
389	4028	6300
390	4038	6290
391	4049	6280
392	4059	6270
393	4069	6259
394	4079	6248
395	4089	6237
396	4099	6226
397	4109	6215
398	4119	6205
399	4129	6193
400	4139	6182
401	4148	6171
402	4158	6160
403	4168	6149
404	4178	6139
405	4189	6129
406	4200	6119
407	4210	6110
408	4221	6099
409	4231	6089
410	4241	6078
411	4251	6067
412	4261	6056
413	4271	6046
414	4282	6036
415	4292	6026
416	4302	6015
417	4313	6005
418	4323	5995
419	4334	5985
420	4344	5974
421	4354	5964
422	4365	5954
423	4375	5943
424	4385	5933
425	4395	5922
426	4406	5913
427	4416	5902
428	4426	5892
429	4437	5881
430	4447	5871
431	4458	5861
432	4467	5850
433	4477	5839
434	4487	5828
435	4497	5818
436	4508	5808
437	4518	5797
438	4528	5786
439	4538	5776
440	4549	5766
441	4558	5755
442	4568	5744
443	4578	5733
444	4589	5723
445	4599	5713
446	4609	5702
447	4619	5691
448	4629	5681
449	4640	5671
450	4650	5660
451	4661	5650
452	4671	5641
453	4681	5630
454	4691	5619
455	4702	5609
456	4711	5598
457	4722	5588
458	4732	5577
459	4742	5567
460	4752	5556
461	4762	5546
462	4773	5535
463	4783	5525
464	4793	5515
465	4803	5504
466	4817	5497
467	4827	5487
468	4837	5477
469	4847	5466
470	4858	5456
471	4868	5445
472	4878	5435
473	4888	5424
474	4898	5413
475	4908	5403
476	4918	5393
477	4929	5383
478	4939	5372
479	4949	5361
480	4960	5352
481	4970	5341
482	4981	5332
483	4992	5322
484	5003	5313
485	5015	5304
486	5026	5294
487	5037	5285
488	5048	5276
489	5059	5265
490	5069	5255
491	5079	5244
492	5088	5233
493	5098	5222
494	5108	5212
495	5118	5201
496	5129	5191
497	5139	5181
498	5150	5170
499	5161	5161
500	5171	5150
501	5181	5140
502	5191	5129
503	5202	5120
504	5213	5109
505	5223	5099
506	5233	5088
507	5243	5078
508	5253	5067
509	5263	5056
510	5273	5046
511	5284	5036
512	5294	5025
513	5304	5015
514	5314	5005
515	5324	4994
516	5335	4984
517	5345	4974
518	5356	4963
519	5366	4953
520	5376	4943
521	5386	4932
522	5396	4921
523	5406	4910
524	5416	4900
525	5426	4890
526	5437	4880
527	5448	4870
528	5458	4859
529	5468	4849
530	5478	4839
531	5488	4828
532	5498	4817
533	5508	4807
534	5518	4796
535	5528	4786
536	5539	4776
537	5550	4766
538	5560	4756
539	5570	4745
540	5581	4735
541	5591	4724
542	5602	4714
543	5612	4704
544	5622	4693
545	5632	4683
546	5642	4673
547	5652	4662
548	5662	4651
549	5672	4641
550	5683	4631
551	5693	4620
552	5703	4610
553	5713	4599
554	5723	4589
555	5734	4578
556	5744	4568
557	5754	4558
558	5764	4547
559	5775	4537
560	5785	4527
561	5795	4516
562	5805	4506
563	5816	4496
564	5826	4486
565	5836	4475
566	5846	4465
567	5856	4454
568	5867	4444
569	5877	4433
570	5887	4423
571	5897	4412
572	5908	4402
573	5917	4392
574	5928	4381
575	5938	4371
576	5949	4361
577	5959	4351
578	5970	4340
579	5980	4330
580	5990	4320
581	6000	4309
582	6010	4299
583	6020	4288
584	6031	4278
585	6041	4268
586	6051	4257
587	6061	4246
588	6071	4236
589	6081	4226
590	6092	4216
591	6102	4205
592	6112	4195
593	6123	4185
594	6133	4174
595	6143	4164
596	6157	4156
597	6169	4147
598	6181	4138
599	6191	4127
600	6203	4118
601	6214	4108
602	6224	4098
603	6234	4087
604	6244	4077
605	6255	4067
606	6266	4057
607	6276	4046
608	6286	4036
609	6296	4025
610	6306	4015
611	6317	4004
612	6327	3994
613	6337	3984
614	6348	3974
615	6358	3963
616	6368	3953
617	6378	3942
618	6388	3932
619	6398	3921
620	6408	3911
621	6418	3900
622	6427	3889
623	6437	3879
624	6447	3868
625	6457	3858
626	6467	3847
627	6478	3837
628	6488	3826
629	6498	3816
630	6508	3806
631	6519	3795
632	6529	3785
633	6539	3775
634	6549	3764
635	6559	3754
636	6570	3744
637	6580	3733
638	6590	3723
639	6601	3713
640	6611	3702
641	6621	3692
642	6631	3681
643	6641	3671
644	6650	3660
645	6661	3650
646	6671	3639
647	6681	3629
648	6691	3619
649	6702	3608
650	6712	3598
651	6722	3588
652	6732	3577
653	6742	3567
654	6753	3557
655	6763	3546
656	6773	3536
657	6783	3525
658	6794	3515
659	6805	3505
660	6815	3495
661	6825	3485
662	6836	3474
663	6846	3464
664	6856	3454
665	6866	3443
666	6877	3433
667	6887	3423
668	6897	3412
669	6908	3402
670	6919	3392
671	6929	3382
672	6940	3372
673	6952	3362
674	6963	3352
675	6974	3343
676	6986	3333
677	6997	3323
678	7008	3313
679	7019	3303
680	7029	3292
681	7040	3282
682	7049	3272
683	7060	3261
684	7070	3251
685	7081	3241
686	7091	3231
687	7101	3220
688	7111	3210
689	7122	3200
690	7132	3189
691	7143	3179
692	7153	3168
693	7163	3158
694	7173	3147
695	7182	3137
696	7193	3127
697	7204	3116
698	7215	3107
699	7225	3096
700	7235	3086
701	7245	3075
702	7255	3065
703	7265	3054
704	7275	3044
705	7285	3033
706	7295	3023
707	7305	3013
708	7315	3002
709	7325	2992
710	7336	2982
711	7346	2971
712	7356	2961
713	7366	2950
714	7377	2940
715	7387	2930
716	7396	2919
717	7407	2909
718	7417	2898
719	7427	2888
720	7437	2878
721	7447	2867
722	7457	2857
723	7467	2846
724	7477	2836
725	7487	2825
726	7498	2815
727	7508	2805
728	7518	2794
729	7528	2784
730	7539	2774
731	7549	2763
732	7558	2753
733	7568	2742
734	7578	2732
735	7589	2722
736	7599	2711
737	7609	2701
738	7619	2691
739	7630	2681
740	7640	2670
741	7650	2660
742	7660	2649
743	7670	2639
744	7681	2629
745	7691	2618
746	7702	2608
747	7712	2598
748	7722	2588
749	7733	2577
750	7743	2567
751	7754	2557
752	7764	2546
753	7774	2536
754	7784	2526
755	7794	2515
756	7805	2505
757	7815	2495
758	7825	2484
759	7835	2474
760	7845	2464
761	7856	2453
762	7866	2443
763	7875	2432
764	7886	2422
765	7897	2412
766	7907	2402
767	7917	2391
768	7927	2381
769	7937	2371
770	7948	2360
771	7959	2350
772	7969	2340
773	7979	2330
774	7990	2319
775	8000	2309
776	8010	2299
777	8020	2288
778	8030	2278
779	8040	2267
780	8050	2257
781	8061	2247
782	8070	2236
783	8081	2226
784	8091	2216
785	8101	2205
786	8110	2195
787	8121	2184
788	8131	2174
789	8142	2164
790	8152	2153
791	8163	2143
792	8173	2133
793	8182	2122
794	8192	2112
795	8203	2102
796	8213	2092
797	8223	2081
798	8233	2071
799	8244	2061
800	8254	2050
801	8264	2040
802	8274	2030
803	8284	2019
804	8295	2009
805	8305	1999
806	8315	1988
807	8325	1978
808	8335	1967
809	8345	1957
810	8356	1947
811	8366	1937
812	8376	1926
813	8386	1916
814	8396	1905
815	8406	1895
816	8416	1885
817	8427	1875
818	8437	1864
819	8447	1854
820	8457	1844
821	8468	1833
822	8479	1823
823	8489	1813
824	8500	1803
825	8511	1793
826	8523	1783
827	8534	1772
828	8544	1762
829	8555	1752
830	8566	1742
831	8577	1732
832	8589	1722
833	8600	1711
834	8610	1701
835	8621	1691
836	8631	1680
837	8642	1670
838	8652	1660
839	8663	1650
840	8674	1640
841	8685	1629
842	8697	1619
843	8707	1609
844	8718	1599
845	8728	1588
846	8738	1578
847	8748	1568
848	8759	1557
849	8769	1547
850	8779	1537
851	8789	1526
852	8799	1516
853	8810	1506
854	8820	1495
855	8830	1485
856	8840	1475
857	8850	1464
858	8860	1454
859	8871	1444
860	8882	1433
861	8892	1423
862	8901	1413
863	8911	1402
864	8922	1392
865	8933	1382
866	8943	1371
867	8952	1361
868	8963	1351
869	8974	1340
870	8984	1330
871	8994	1320
872	9005	1310
873	9015	1299
874	9024	1289
875	9035	1278
876	9045	1268
877	9056	1258
878	9066	1248
879	9076	1237
880	9086	1227
881	9096	1216
882	9106	1206
883	9116	1196
884	9125	1185
885	9135	1175
886	9146	1165
887	9155	1154
888	9165	1144
889	9175	1134
890	9186	1123
891	9196	1113
892	9206	1103
893	9217	1092
894	9227	1082
895	9237	1072
896	9247	1061
897	9257	1051
898	9267	1041
899	9278	1030
900	9288	1020
901	9299	1010
902	9309	999
903	9319	989
904	9329	979
905	9339	969
906	9349	958
907	9359	948
908	9370	938
909	9380	927
910	9390	917
911	9400	907
912	9410	896
913	9420	886
914	9430	876
915	9441	865
916	9451	855
917	9462	845
918	9472	834
919	9482	824
920	9492	814
921	9502	803
922	9512	793
923	9522	783
924	9533	772
925	9544	762
926	9554	752
927	9564	742
928	9574	731
929	9585	721
930	9595	711
931	9605	700
932	9616	690
933	9626	680
934	9636	669
935	9646	659
936	9655	649
937	9666	638
938	9677	628
939	9687	618
940	9697	608
941	9707	597
942	9718	587
943	9728	577
944	9738	566
945	9748	556
946	9758	546
947	9769	535
948	9779	525
949	9789	515
950	9799	504
951	9810	494
952	9820	484
953	9830	474
954	9841	463
955	9851	453
956	9861	443
957	9871	432
958	9881	422
959	9892	412
960	9902	401
961	9912	391
962	9922	381
963	9933	370
964	9943	360
965	9954	350
966	9963	340
967	9973	329
968	9985	319
969	9996	309
970	10006	298
971	10017	288
972	10028	278
973	10039	268
974	10050	257
975	10061	247
976	10073	237
977	10084	226
978	10095	216
979	10105	206
980	10116	195
981	10127	185
982	10137	175
983	10147	165
984	10157	154
985	10168	144
986	10179	134
987	10189	123
988	10199	113
989	10210	103
990	10220	92
991	10231	82
992	10241	72
993	10251	61
994	10260	51
995	10271	41
996	10282	30
997	10292	20
998	10302	10
999	10312	0
